title;abstract;journal;area;field
TOTALLY REFLEXIVE MODULES AND POINCARE SERIES;WE STUDY COHEN-MACAULAY NON-GORENSTEIN LOCAL RINGS (R, M, K) ADMITTING CERTAIN TOTALLY REFLEXIVE MODULES. MORE PRECISELY, WE GIVE A DESCRIPTION OF THE POINCARE SERIES OF K BY USING THE POINCARE SERIES OF A NON-ZERO TOTALLY REFLEXIVE MODULE WITH MINIMAL MULTIPLICITY. OUR RESULTS G;JOURNAL OF ALGEBRA;Mathematics;Algebra
GENERALIZED HIRANO INVERSES IN RINGS;WE INTRODUCE AND STUDY A NEW CLASS OF GENERALIZED INVERSES IN RINGS. AN ELEMENT A IN A RING R HAS GENERALIZED HIRANO INVERSE IF THERE EXISTS B IS AN ELEMENT OF R SUCH THAT BAB = B, B IS AN ELEMENT OF COMM(2) (A), A(2-)AB IS AN ELEMENT OF R-QNIL: WE PROVE THAT THE GENERALIZED HIRA;COMMUNICATIONS IN ALGEBRA;Mathematics;Algebra
GENERALIZED VERMA MODULES OVER SL(N+2) INDUCED FROM U(H(N))-FREE SL(N+1)-MODULES;A CLASS OF GENERALIZED VERMA MODULES OVER SL(N+2) ARE CONSTRUCTED FROM SL(N+1)-MODULES WHICH ARE U(H(N))-FREE MODULES OF RANK 1. THE NECESSARY AND SUFFICIENT CONDITIONS FOR THESE SL(N+2)-MODULES TO BE SIMPLE ARE DETERMINED. THIS LEADS TO A CLASS OF NEW SIMPLE SL(N+2)-MODULES. (C);JOURNAL OF ALGEBRA;Mathematics;Algebra
PERMUTATION CHARACTERS IN FINITE SOLVABLE GROUPS;AN IRREDUCIBLE CHARACTER OF A FINITE GROUP G IS CALLED A P CHARACTER, IF IT CONSTITUENT OF ( FOR SOME MAXIMAL SUBGROUP M OF G. IN SOME FACTS ABOUT -CHARACTERS IN FINITE SOLVABLE GROUPS.;COMMUNICATIONS IN ALGEBRA;Mathematics;Algebra
KOSZUL ALMOST COMPLETE INTERSECTIONS;LET R = S/I BE A QUOTIENT OF A STANDARD GRADED POLYNOMIAL RING S BY AN IDEAL I GENERATED BY QUADRICS. IF R IS KOSZUL, A QUESTION OF AVRAMOV, CONCA, AND IYENGAR ASKS WHETHER THE BETTI NUMBERS OF R OVER S CAN BE BOUNDED ABOVE BY BINOMIAL COEFFICIENTS ON THE MINIMAL NUMBER OF GENERA;JOURNAL OF ALGEBRA;Mathematics;Algebra
BASIC MORITA EQUIVALENCES AND ISOTYPIES;BASIC MORITA EQUIVALENCES AND ISOTYPIES BETWEEN BLOCKS ARE DUE TO L. PUIG AND M. BROUE RESPECTIVELY. IN THIS PAPER, WE PROVE THAT A BASIC MORITA EQUIVALENCE BETWEEN BLOCKS INDUCES AN ISOTYPY IF AND ONLY IF THE VALUE AT AN ELEMENT U OF THE CHARACTER OF A SOURCE OF THE BIMODULE IND;JOURNAL OF ALGEBRA;Mathematics;Algebra
THE RING OF COLOMBEAU'S FULL GENERALIZED QUATERNIONS;IN THIS PAPER, WE INTRODUCE THE RING OF COLOMBEAU FULL GENERALIZED QUATERNION, AND WE STUDY ITS ALGEBRAIC AND TOPOLOGICAL PROPERTIES. WE PROVE THAT THE RING OF COLOMBEAU FULL GENERALIZED QUATERNION IS GELFAND, NORMAL, DUO AND SOME RELATED PROPERTIES. MOREOVER, WE STUDY THE ESSENT;COMMUNICATIONS IN ALGEBRA;Mathematics;Algebra
QUASI-FILIFORM LIE ALGEBRAS OF MAXIMUM LENGTH REVISITED;WE REVISIT THE PROBLEM OF CLASSIFICATION OF QUASI-FILIFORM LIE ALGEBRAS OF MAXIMUM LENGTH. THE LISTS FOUND IN THE LITERATURE ARE EITHER INCOMPLETE OR NON-EXPLICIT. EN ROUTE WE TOUCH UPON THE CLASSIFICATION OF GRADED FILIFORM LIE ALGEBRAS GENERATED BY TWO ELEMENTS OF DEGREE ONE AN;JOURNAL OF ALGEBRA;Mathematics;Algebra
FULLY INVARIANT-EXTENDING MODULAR LATTICES, AND APPLICATIONS (I);BASED ON THE CONCEPT OF A LINEAR MORPHISM OF LATTICES, RECENTLY INTRODUCED IN THE LITERATURE, WE INTRODUCE AND INVESTIGATE IN THIS PAPER THE LATTICIAL COUNTERPART OF THE NOTION OF A FULLY INVARIANT-EXTENDING MODULE. (C) 2018 ELSEVIER INC. ALL RIGHTS RESERVED.;JOURNAL OF ALGEBRA;Mathematics;Algebra
PROJECTIVE CHARACTERS OF EXTRA-SPECIAL P-GROUPS;LET G BE AN EXTRA-SPECIAL P-GROUP OF ORDER P(2N+1) FOR N >= 2: THE AIM OF THIS PAPER IS TO INVESTIGATE WHAT POSSIBLE COMBINATIONS OF DEGREES (COUNTING MULTIPLICITIES) OF IRREDUCIBLE ALPHA-CHARACTERS OF G CAN OCCUR FOR [ALPHA] IN THE SCHUR MULTIPLIER M(G), AND THEN TO DETERMINE TH;COMMUNICATIONS IN ALGEBRA;Mathematics;Algebra
CLASSIFICATION OF SIMPLE LINEARLY COMPACT KANTOR TRIPLE SYSTEMS OVER THE COMPLEX NUMBERS;SIMPLE FINITE-DIMENSIONAL KANTOR TRIPLE SYSTEMS OVER THE COMPLEX NUMBERS ARE CLASSIFIED IN TERMS OF SATAKE DIAGRAMS. WE PROVE THAT EVERY SIMPLE AND LINEARLY COMPACT KANTOR TRIPLE SYSTEM HAS FINITE DIMENSION AND GIVE AN EXPLICIT PRESENTATION OF ALL THE CLASSICAL AND EXCEPTIONAL SY;JOURNAL OF ALGEBRA;Mathematics;Algebra
